Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests
202340802,Evelyn,Lily,Chavez,Female,2001-02-21,United States,United States,(386) 699-4475,evelyn.chavez46@gmail.com,"6982 Park Street, Apt 111",Austin,TX,67080,Columbia University,2.6,3.93; 2.54; 3.62; 3.08,138,0,6,"ML502, CYBER301, EE301, BIO202, DS401, ECON101",22,"SQL, R, Cybersecurity, TensorFlow, Machine Learning, AWS, Python, JavaScript, Pandas","Critical Thinking, Problem-solving, Time Management, Communication",NLP,"Cybersecurity Analyst, ML Engineer, Software Engineer, AI Researcher","Gaming, Music, Photography, Sports",Kinesthetic,Online,Evening,"Computer Vision, NLP, Cybersecurity, None"
202580238,Violet,Silas,Allen,Female,2002-05-10,United States,United States,(499) 914-3068,violet.allen82@gmail.com,3255 Maple Street,Houston,FL,73464,Duke University,2.77,3.95; 3.05; 2.57; 2.2,64,55,4,"CS201, DS401, PSY101, ML502",13,"Machine Learning, Docker, Java, Python, TensorFlow, SQL, Deep Learning, AWS, JavaScript","Leadership, Teamwork, Communication, Critical Thinking, Time Management",,"Cybersecurity Analyst, Software Engineer, AI Researcher, ML Engineer","Gaming, Cooking, Sports",Visual,Small group,Morning,"None, Data Science, NLP, Machine Learning, Cybersecurity"
202302099,Delilah,Elizabeth,Hill,Female,2005-10-23,United States,United States,(923) 489-8438,delilah.hill10@gmail.com,5103 Hill Lane,Houston,FL,44687,University of California--San Diego,3.42,2.48,34,81,3,"CS101, ECON101, ML502",10,"JavaScript, SQL, Machine Learning, PyTorch, TensorFlow, Cybersecurity, Git, Java","Critical Thinking, Leadership, Communication, Teamwork",,Data Scientist,"Cooking, Hiking, Photography, Sports",Reading/Writing,Alone,Late night,"Computer Vision, Data Science, Cybersecurity"
202302218,Kinsley,Ethan,Kim,Female,2005-11-05,United States,United States,(878) 610-1601,kinsley.kim59@gmail.com,5380 Hill Road,Houston,CA,98117,Stanford University,3.7,2.08; 3.51; 2.94; 3.3,86,29,6,"PHYS101, EE301, ML502, ECON101, CS101, MATH101",22,"R, SQL, Cybersecurity","Problem-solving, Time Management, Teamwork","Data Science, None, Artificial Intelligence, Machine Learning","ML Engineer, Cybersecurity Analyst, AI Researcher","Photography, Reading, Gaming, Sports, Music",Auditory,One-on-one,Late night,"AI, None, NLP, Machine Learning"
202356385,Dylan,Victoria,Johnson,Male,2005-07-30,United States,United States,(719) 473-1042,dylan.johnson37@gmail.com,"1627 Cedar Way, Apt 30",Los Angeles,TX,75323,Carnegie Mellon University,3.89,3.02; 2.55,138,0,4,"PSY101, ECON101, MATH101, BIO202",14,"SQL, Deep Learning, TensorFlow, Machine Learning, PyTorch, Docker, C++, Pandas","Communication, Critical Thinking, Problem-solving, Leadership, Time Management, Teamwork",Computer Vision,"Data Scientist, Cybersecurity Analyst, Software Engineer, ML Engineer","Hiking, Music, Photography, Gaming, Cooking",Visual,Small group,Evening,
202030353,Camila,Aurora,Collins,Female,2002-08-14,United States,United States,(247) 532-1919,camila.collins38@gmail.com,"6817 Pine Street, Apt 121",Seattle,IL,95175,Massachusetts Institute of Technology,2.44,3.7; 3.72,112,8,6,"BIO202, CYBER301, PHYS101, PHYS101, DS401, EE301",21,"R, Git, C++, JavaScript, AWS","Time Management, Leadership, Critical Thinking, Teamwork, Communication, Problem-solving","NLP, Machine Learning, Data Science, None","Cybersecurity Analyst, AI Researcher","Sports, Hiking, Reading, Music, Gaming",Auditory,Alone,Late night,"NLP, Cybersecurity, Data Science"
202462236,Claire,Landon,Sanchez,Female,2006-06-03,United States,United States,(234) 793-6977,claire.sanchez94@gmail.com,"1847 Cedar Boulevard, Apt 147",Miami,MA,48696,University of Chicago,2.34,3.32; 2.55; 3.13; 3.37; 3.49; 2.1,142,0,4,"PSY101, CYBER301, BIO202, PSY101",13,"Java, SQL, R, Pandas","Leadership, Critical Thinking, Time Management, Communication, Problem-solving, Teamwork",Cybersecurity,"AI Researcher, ML Engineer, Software Engineer, Data Scientist","Gaming, Photography",Reading/Writing,One-on-one,Morning,"AI, Cybersecurity, NLP, None"
202389033,Eliana,Skylar,Myers,Female,2003-12-10,United States,United States,(886) 960-9850,eliana.myers54@gmail.com,"9677 Sunset Way, Apt 164",Los Angeles,FL,71797,University of Illinois Urbana-Champaign,2.34,2.66; 3.22; 3.3; 3.27,133,0,6,"ML502, BIO202, ECON101, BIO202, PSY101, BIO202",20,"Pandas, Cybersecurity, C++, Git, PyTorch, Java, Docker","Communication, Teamwork, Critical Thinking, Time Management, Leadership, Problem-solving",,"Software Engineer, AI Researcher, Cybersecurity Analyst","Reading, Music, Sports, Gaming",Visual,Online,Morning,"Computer Vision, None"
202249489,Henry,Liliana,Nelson,Male,2002-05-31,United States,United States,(802) 531-1258,henry.nelson23@gmail.com,9350 Cedar Street,Miami,FL,40539,Duke University,2.86,3.58,15,103,4,"MATH101, PSY101, DATA201, AI501",13,"Python, C++, Pandas, Git, AWS","Critical Thinking, Teamwork, Problem-solving","None, Cybersecurity, Computer Vision",Cybersecurity Analyst,"Gaming, Cooking, Reading, Sports, Photography, Hiking",Visual,Online,Late night,"Computer Vision, AI, Data Science, NLP"
202160053,Mateo,Colton,Cox,Male,2001-09-27,United States,United States,(903) 685-2099,mateo.cox12@gmail.com,"2167 Elm Lane, Apt 163",Denver,MA,69469,Yale University,3.16,2.2; 3.4; 3.71,70,53,6,"DS401, CS201, PHYS101, PSY101, ECON101, AI501",23,"Java, Cybersecurity, Git, Deep Learning, R, C++, AWS, Python, SQL","Critical Thinking, Teamwork, Problem-solving, Leadership, Communication",,"ML Engineer, AI Researcher, Data Scientist","Cooking, Photography",Auditory,Small group,Late night,"None, AI"
202388028,Lyla,Hannah,Mitchell,Female,2004-02-16,United States,United States,(519) 938-6314,lyla.mitchell73@gmail.com,9506 Cedar Way,Miami,MA,13794,Princeton University,2.61,3.52; 3.84; 2.7; 2.36; 2.29,117,0,4,"MATH101, EE301, ML502, DATA201",15,"Java, Python, C++, Machine Learning, TensorFlow, Deep Learning, Cybersecurity","Problem-solving, Critical Thinking, Time Management, Communication, Leadership","Cybersecurity, Machine Learning, Computer Vision",AI Researcher,"Reading, Sports, Cooking, Music, Hiking",Kinesthetic,Alone,Afternoon,"NLP, AI, Computer Vision, Machine Learning"
202303578,Hazel,Peyton,Moore,Female,2003-11-13,United States,United States,(317) 614-1341,hazel.moore42@gmail.com,"4842 Maple Street, Apt 2",Denver,TX,26932,University of Wisconsin--Madison,2.95,2.46; 3.12; 3.34; 2.71; 2.79,25,98,3,"CS101, DS401, AI501",12,"Machine Learning, TensorFlow, Docker, Pandas","Teamwork, Problem-solving, Critical Thinking, Time Management, Leadership","Data Science, Computer Vision, Artificial Intelligence, None","AI Researcher, Data Scientist, Cybersecurity Analyst","Reading, Cooking, Photography",Auditory,One-on-one,Evening,"Machine Learning, AI"
202059653,Luke,Caleb,Thompson,Male,2002-09-19,United States,United States,(577) 493-2257,luke.thompson83@gmail.com,"1334 Pine Way, Apt 161",Austin,GA,99277,University of Washington,3.87,3.29; 3.97; 2.65; 3.94,95,19,6,"CYBER301, ML502, BIO202, PSY101, DATA201, CS201",22,"Deep Learning, Java, TensorFlow, Machine Learning, AWS, Git, Docker, Python, JavaScript","Communication, Time Management, Problem-solving, Critical Thinking",Artificial Intelligence,"Software Engineer, AI Researcher, Cybersecurity Analyst, ML Engineer","Hiking, Gaming, Reading, Photography, Sports, Music",Reading/Writing,Small group,Evening,"Cybersecurity, Data Science, Computer Vision"
202189019,Ariana,Maya,Miller,Female,2004-10-02,United States,United States,(419) 549-8967,ariana.miller25@gmail.com,"1179 Maple Street, Apt 143",Boston,MA,96057,Georgia Institute of Technology,3.94,3.75; 2.67; 3.17; 2.28,104,15,6,"MATH101, PHYS101, CS201, DATA201, DS401, DS401",22,"C++, Cybersecurity, Java, SQL","Time Management, Critical Thinking, Teamwork","None, Computer Vision","ML Engineer, Cybersecurity Analyst","Gaming, Photography, Cooking",Auditory,Online,Morning,"Cybersecurity, Computer Vision, Machine Learning, Data Science"
202473041,Athena,Adeline,Edwards,Female,2006-12-28,United States,United States,(557) 227-7797,athena.edwards7@gmail.com,4018 Elm Way,Seattle,GA,70513,Duke University,3.61,2.76; 3.05; 3.93; 3.63; 3.6; 2.28,79,32,6,"CYBER301, CS101, DATA201, MATH101, PHYS101, AI501",21,"AWS, R, JavaScript, Git, Java, Deep Learning","Teamwork, Communication, Critical Thinking, Time Management","None, Machine Learning","Software Engineer, AI Researcher","Hiking, Gaming, Music, Cooking, Sports",Visual,Alone,Morning,"Machine Learning, None, NLP"
202409420,Elizabeth,Vivian,Torres,Female,2004-05-18,United States,United States,(681) 244-7338,elizabeth.torres48@gmail.com,"2096 Main Avenue, Apt 108",Los Angeles,NY,75513,Duke University,3.31,,76,38,5,"DATA201, CS101, PSY101, BIO202, AI501",16,"Pandas, Python, R, Java, Machine Learning","Critical Thinking, Teamwork, Communication, Time Management",,"ML Engineer, AI Researcher, Cybersecurity Analyst","Photography, Hiking, Music",Reading/Writing,Small group,Afternoon,Computer Vision
202451524,Sophia,Robert,Sanchez,Female,2003-03-29,United States,United States,(816) 384-9937,sophia.sanchez38@gmail.com,"786 Maple Road, Apt 132",Atlanta,GA,43202,Stanford University,2.36,2.38; 2.71; 3.56; 3.73; 2.66,46,75,6,"ECON101, PHYS101, MATH101, PHYS101, PHYS101, EE301",22,"Java, Cybersecurity, R, PyTorch, SQL","Problem-solving, Time Management, Critical Thinking, Teamwork, Leadership","Data Science, Artificial Intelligence","ML Engineer, Cybersecurity Analyst, Data Scientist","Reading, Hiking",Reading/Writing,One-on-one,Afternoon,Machine Learning
202274492,Sophia,Luke,Rodriguez,Female,2005-02-09,United States,United States,(993) 466-8311,sophia.rodriguez28@gmail.com,6033 Sunset Lane,Austin,WA,58760,Duke University,3.05,,50,76,5,"EE301, AI501, DS401, ECON101, ML502",17,"SQL, Pandas, Docker, JavaScript, Java, C++, PyTorch","Leadership, Problem-solving, Teamwork, Communication, Critical Thinking, Time Management",,"AI Researcher, Data Scientist, ML Engineer","Photography, Sports, Cooking",Auditory,Alone,Afternoon,"Machine Learning, Data Science"
202169834,Santiago,Victoria,Kelly,Male,2006-03-30,United States,United States,(530) 926-4694,santiago.kelly45@gmail.com,9138 Pine Lane,Boston,IL,72739,Cornell University,3.19,2.82; 3.15; 2.25; 2.63; 2.15; 2.93,103,11,4,"MATH101, DS401, ECON101, CS201",13,"Cybersecurity, SQL, Java, Deep Learning, JavaScript, AWS, Pandas","Critical Thinking, Communication, Teamwork, Time Management",Computer Vision,"Data Scientist, AI Researcher","Reading, Photography, Hiking, Cooking, Sports, Gaming",Auditory,Online,Morning,"Computer Vision, NLP, Cybersecurity, None"
202053063,Nova,Eloise,Mendoza,Female,2004-05-03,United States,United States,(497) 593-7850,nova.mendoza32@gmail.com,7530 Oak Drive,Austin,IL,73471,University of Chicago,3.09,3.21; 2.63,96,25,6,"MATH101, ML502, CS201, ML502, BIO202, AI501",20,"Cybersecurity, C++, R, TensorFlow, Machine Learning, JavaScript, Deep Learning, Docker, SQL","Problem-solving, Communication, Critical Thinking, Teamwork, Time Management, Leadership","Data Science, Machine Learning, NLP, Cybersecurity",Software Engineer,"Music, Cooking, Photography, Sports",Visual,Alone,Late night,"Cybersecurity, Computer Vision"
202533853,Peyton,Sophia,Campbell,Female,2005-06-29,United States,United States,(611) 712-1659,peyton.campbell6@gmail.com,"938 Hill Lane, Apt 50",Atlanta,MA,19637,Stanford University,2.96,3.53; 2.56; 3.98,45,69,3,"BIO202, CYBER301, PHYS101",10,"C++, Pandas, R","Time Management, Problem-solving, Leadership, Communication, Teamwork, Critical Thinking","Cybersecurity, Machine Learning, Data Science, None","ML Engineer, Cybersecurity Analyst, AI Researcher","Sports, Music, Reading, Photography, Gaming, Cooking",Reading/Writing,One-on-one,Morning,"Data Science, Cybersecurity, NLP, Machine Learning, Computer Vision"
202507699,Bennett,Chloe,Perez,Male,2005-04-07,United States,United States,(396) 452-5571,bennett.perez72@gmail.com,2521 Cedar Street,Houston,CA,67807,New York University,2.83,2.83,67,56,6,"AI501, BIO202, CS201, DATA201, DATA201, DATA201",23,"JavaScript, SQL, Machine Learning, Deep Learning, Cybersecurity","Communication, Problem-solving, Critical Thinking, Time Management, Leadership, Teamwork",,"Cybersecurity Analyst, AI Researcher, Software Engineer, Data Scientist","Sports, Hiking",Visual,One-on-one,Late night,"Computer Vision, Data Science, Machine Learning"
202299279,Leonardo,Brooks,Bailey,Male,2004-01-18,United States,United States,(861) 260-2465,leonardo.bailey84@gmail.com,2349 Oak Lane,Houston,CA,97796,University of Texas at Austin,3.84,3.28,28,85,6,"DS401, ML502, PSY101, BIO202, CS201, CS201",23,"JavaScript, AWS, Pandas, Machine Learning, Python, C++, Git","Teamwork, Problem-solving, Time Management, Critical Thinking","Artificial Intelligence, None","ML Engineer, Software Engineer, Data Scientist","Music, Hiking, Cooking, Photography",Auditory,Online,Evening,"None, AI"
202377017,Emily,Lydia,Collins,Female,2003-11-20,United States,United States,(909) 441-2017,emily.collins86@gmail.com,"3150 Main Drive, Apt 87",Miami,FL,33002,Georgia Institute of Technology,3.34,3.79; 3.65; 3.03; 2.17; 3.34,62,52,6,"CYBER301, ECON101, CS201, CS201, MATH101, PHYS101",23,"Docker, SQL, C++","Critical Thinking, Time Management, Communication, Problem-solving, Teamwork, Leadership","Computer Vision, Machine Learning","Data Scientist, Cybersecurity Analyst","Music, Hiking, Cooking",Kinesthetic,Online,Late night,"None, Computer Vision, Machine Learning, NLP, Cybersecurity"
202323139,Ryan,Eleanor,Ortiz,Male,2005-01-21,United States,United States,(940) 222-7487,ryan.ortiz33@gmail.com,1379 Hill Street,Miami,TX,31566,University of Texas at Austin,2.86,2.88; 3.36; 3.43; 2.98,145,0,3,"PSY101, MATH101, AI501",11,"Python, Pandas, JavaScript, TensorFlow, Java, Cybersecurity, Git, R, Docker","Time Management, Teamwork, Critical Thinking","Artificial Intelligence, Cybersecurity, Data Science","Data Scientist, Cybersecurity Analyst","Music, Photography, Hiking, Cooking",Visual,Small group,Evening,Machine Learning
202245722,Savannah,Luke,Sanders,Female,2001-01-15,United States,United States,(752) 422-1924,savannah.sanders18@gmail.com,"472 Elm Boulevard, Apt 173",Atlanta,IL,40102,Duke University,2.72,2.31; 2.38,43,68,6,"CYBER301, BIO202, CS101, CYBER301, PSY101, PHYS101",21,"SQL, JavaScript, Pandas, TensorFlow, R, Machine Learning, PyTorch","Communication, Leadership, Time Management, Problem-solving","Cybersecurity, Artificial Intelligence","Cybersecurity Analyst, ML Engineer","Sports, Hiking",Reading/Writing,One-on-one,Late night,"Machine Learning, Cybersecurity, Data Science, None"
202219036,Lily,Cameron,Hill,Female,2002-08-15,United States,United States,(540) 510-1251,lily.hill28@gmail.com,"7686 Main Lane, Apt 106",Atlanta,TX,60910,University of Texas at Austin,2.71,2.66,35,89,5,"EE301, BIO202, CS101, ML502, DATA201",16,"Pandas, Java, Cybersecurity, Docker","Critical Thinking, Time Management, Leadership, Problem-solving",Computer Vision,"AI Researcher, Cybersecurity Analyst, Data Scientist","Hiking, Sports, Photography, Cooking, Gaming, Music",Reading/Writing,Alone,Late night,"Machine Learning, Cybersecurity, Computer Vision"
202144170,Mia,Leah,Lewis,Female,2002-08-21,United States,United States,(845) 436-2113,mia.lewis91@gmail.com,"365 Elm Lane, Apt 150",Boston,TX,35715,Purdue University,2.86,3.14; 2.49; 3.1,101,17,6,"PHYS101, CS101, CYBER301, PSY101, BIO202, PHYS101",19,"Python, JavaScript, AWS, Docker","Teamwork, Time Management, Problem-solving, Communication, Leadership",,ML Engineer,"Music, Reading, Hiking, Sports, Photography, Gaming",Visual,Online,Afternoon,AI
202240927,Jacob,Josiah,Richardson,Male,2003-10-31,United States,United States,(416) 908-8790,jacob.richardson35@gmail.com,5907 Elm Way,Seattle,IL,70161,New York University,3.26,2.45; 3.37; 3.7; 3.31; 3.72,23,89,6,"DS401, DATA201, CYBER301, CS201, AI501, CYBER301",21,"Cybersecurity, Java, PyTorch","Time Management, Critical Thinking, Teamwork, Problem-solving, Leadership",,"ML Engineer, Data Scientist","Reading, Sports, Gaming, Cooking, Hiking",Reading/Writing,One-on-one,Late night,"None, Computer Vision"
202408548,Aaron,Eva,Hall,Male,2002-02-05,United States,United States,(524) 569-2745,aaron.hall12@gmail.com,"7261 Cedar Way, Apt 20",Miami,IL,52778,Stanford University,2.35,3.57; 2.9,73,48,6,"DS401, PHYS101, DS401, PHYS101, EE301, ECON101",20,"SQL, Docker, R","Teamwork, Leadership, Critical Thinking, Problem-solving, Time Management","Computer Vision, None, NLP","Software Engineer, ML Engineer, Cybersecurity Analyst, Data Scientist","Reading, Cooking, Hiking, Sports, Gaming, Photography",Kinesthetic,Online,Late night,Computer Vision
202398343,Weston,Violet,Perez,Male,2005-04-09,United States,United States,(537) 650-6484,weston.perez56@gmail.com,"2877 Pine Road, Apt 78",Austin,TX,18292,University of Illinois Urbana-Champaign,2.58,2.84; 2.97,34,87,5,"ECON101, BIO202, ECON101, CS101, CS201",18,"Deep Learning, Cybersecurity, PyTorch, TensorFlow, C++, SQL, R, JavaScript, Docker","Leadership, Problem-solving, Communication, Critical Thinking, Time Management","None, Machine Learning, Cybersecurity, Data Science","Cybersecurity Analyst, AI Researcher, Software Engineer","Gaming, Cooking, Hiking, Photography, Sports, Reading",Reading/Writing,Small group,Late night,"None, Computer Vision, AI"
202046448,Ariana,Madison,Moore,Female,2004-05-25,United States,United States,(776) 860-7547,ariana.moore97@gmail.com,"4065 Elm Drive, Apt 40",Denver,NY,68860,Georgia Institute of Technology,3.98,3.16; 3.07; 3.85,122,5,3,"CS201, PHYS101, CS201",10,"Machine Learning, Git, Java, Python, Cybersecurity","Leadership, Time Management, Critical Thinking, Problem-solving, Communication","Data Science, NLP, Computer Vision","AI Researcher, Software Engineer","Reading, Sports, Music, Photography, Cooking",Auditory,One-on-one,Evening,"Data Science, Machine Learning, NLP"
202065602,Addison,Penelope,Gonzalez,Female,2006-01-28,United States,United States,(791) 304-9796,addison.gonzalez24@gmail.com,5325 Oak Road,New York,WA,94930,University of California--Los Angeles,2.49,2.33; 3.97; 2.49; 2.35; 2.32; 3.12,133,0,6,"PHYS101, DS401, EE301, MATH101, ECON101, ECON101",21,"R, JavaScript, Docker, Java, SQL","Time Management, Communication, Problem-solving, Critical Thinking, Leadership, Teamwork","Cybersecurity, Data Science","AI Researcher, Software Engineer","Sports, Reading, Gaming",Kinesthetic,Alone,Afternoon,"Computer Vision, Machine Learning, NLP"
202588861,Naomi,Naomi,Moore,Female,2005-04-21,United States,United States,(717) 868-9109,naomi.moore53@gmail.com,7031 Pine Boulevard,Atlanta,TX,74178,University of California--San Diego,2.79,2.63,130,0,3,"CS101, AI501, MATH101",10,"Docker, Git, Pandas, Cybersecurity, Machine Learning, C++, Java, Python","Communication, Teamwork, Critical Thinking, Time Management","Cybersecurity, Machine Learning, Data Science, Computer Vision",ML Engineer,"Sports, Cooking",Kinesthetic,Alone,Late night,"Machine Learning, Data Science, AI, None, Computer Vision"
202337742,Cameron,Ryan,Hall,Male,2005-12-04,United States,United States,(453) 979-7434,cameron.hall63@gmail.com,"2023 Cedar Avenue, Apt 189",Miami,IL,31755,Harvard University,3.35,2.41; 2.41; 2.12; 2.7; 2.56; 3.08,97,22,5,"ML502, ECON101, PHYS101, CS201, AI501",16,"TensorFlow, PyTorch, SQL, Deep Learning","Problem-solving, Critical Thinking, Teamwork, Communication, Time Management, Leadership","NLP, Cybersecurity, None, Data Science","AI Researcher, Software Engineer, ML Engineer, Cybersecurity Analyst","Hiking, Photography, Sports, Reading, Cooking",Reading/Writing,Small group,Late night,"Data Science, Cybersecurity"
202415594,Ayla,Everett,Baker,Female,2002-06-19,United States,United States,(840) 512-4836,ayla.baker55@gmail.com,9375 Park Way,New York,NY,92074,Carnegie Mellon University,3.63,2.03; 3.86; 2.32,131,0,6,"PSY101, MATH101, PSY101, CS201, DATA201, EE301",21,"Java, Pandas, Cybersecurity, Python, JavaScript, Docker, Machine Learning, C++","Time Management, Problem-solving, Teamwork, Critical Thinking","None, Artificial Intelligence","Data Scientist, Cybersecurity Analyst, Software Engineer, AI Researcher","Reading, Hiking, Photography, Cooking, Gaming",Kinesthetic,One-on-one,Afternoon,"None, Machine Learning, Computer Vision, AI"
202057219,Silas,Savannah,Perez,Male,2004-12-09,United States,United States,(445) 706-7322,silas.perez15@gmail.com,"3590 Pine Boulevard, Apt 158",Houston,NY,23168,University of California--Los Angeles,2.54,,113,8,6,"AI501, BIO202, ECON101, DATA201, PHYS101, MATH101",21,"Docker, PyTorch, TensorFlow, Java","Communication, Critical Thinking, Leadership","None, Computer Vision, Data Science","ML Engineer, Data Scientist, Cybersecurity Analyst","Reading, Cooking",Visual,Alone,Evening,"AI, None"
202090400,Aubrey,Weston,Watson,Female,2006-08-15,United States,United States,(644) 318-8428,aubrey.watson79@gmail.com,6906 Sunset Drive,Atlanta,TX,46368,University of Texas at Austin,2.44,,145,0,4,"DATA201, BIO202, ML502, CS201",13,"Python, SQL, PyTorch, Pandas, Machine Learning, C++, Java","Critical Thinking, Leadership, Teamwork",Data Science,"ML Engineer, AI Researcher, Software Engineer","Gaming, Hiking, Sports, Reading",Visual,One-on-one,Late night,"NLP, AI, Cybersecurity"
