Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests,Strong Computing Fields,Weak Computing Fields,Degree Program
22414484,Pamela,Julius,Laker,Female,2005-07-24,Uganda,Uganda,+256 7456 092 76,pamela_laker62@outlook.com,181 Avenue Upper Nkozi,Nkozi,Mpigi,35570,Uganda Christian University,2.52,2.28,30,80,3,"DS401, BIO202, CYBER301",22,"TensorFlow, Docker, JavaScript, Deep Learning, Python","Communication, Leadership","Machine Learning, NLP, Data Science, Cybersecurity","Data Scientist, Software Engineer","Gaming, Cooking, Music",Kinesthetic,Alone,Evening,"Computer Vision, Cybersecurity, NLP, None, AI","Machine Learning, Networking, Algorithms, Data Structures",Linear Algebra,Diploma of Business Administration (School of Business and Administration)
22255569,Emmanuel,,Paul,Male,2000-10-24,Uganda,Uganda,+256 7969 244 03,emmanuelpaul192@outlook.com,867 Street Lower Jinja,Jinja,Jinja,90096,Uganda Christian University,3.1,2.13,122,38,4,"CS201, BIO202, PHYS101, AI501",12,"TensorFlow, PyTorch, R","Critical Thinking, Leadership, Teamwork, Problem-solving, Communication, Time Management","Computer Vision, Data Science, Machine Learning, NLP",Data Scientist,"Dancing, Gaming, Hiking, Cooking, Watching films, Music",Auditory,Online,Morning,"NLP, Cybersecurity, AI","Software Engineering, Data Structures, Machine Learning",Cloud Computing,Diploma of Business Administration (School of Business and Administration)
22924818,Kenneth,,Nsubuga,Male,1999-03-24,Uganda,Uganda,+256 7630 038 12,kenneth_nsubuga448@outlook.com,995 Plot Upper Busitema,Busitema,Busia,25535,Uganda Christian University,2.65,3.08,67,20,4,"ML502, PSY101, DATA201, AI501",16,"TensorFlow, R, JavaScript, Pandas, AWS","Problem-solving, Critical Thinking, Teamwork, Time Management, Leadership","Data Science, Machine Learning",ML Engineer,"Reading, Music, Gaming, Dancing, Farming",Kinesthetic,Alone,Late night,"Computer Vision, Machine Learning, Data Science",Networking,Research Methods,Diploma of Business Administration (School of Business and Administration)
22683147,Sharon,,Acan,Female,2002-02-07,Uganda,Uganda,+256 7198 469 24,sharon_acan477@mail.com,357 Avenue  Ndejje,Ndejje,Luwero,26813,Uganda Christian University,3.51,,68,88,3,"DS401, MATH101, PSY101",11,"Machine Learning, Pandas, JavaScript, Cybersecurity, SQL","Teamwork, Communication, Time Management","NLP, Cybersecurity, None","Cybersecurity Analyst, ML Engineer, Software Engineer, Data Scientist","Dancing, Music, Cooking, Sports",Visual,Alone,Late night,"Machine Learning, AI, Data Science, Computer Vision, Cybersecurity","Networking, Algorithms, Web Development, Software Engineering","Security, Research Methods",Diploma of Business Administration (School of Business and Administration)
22686696,Rose,,Okello,Female,2005-05-18,Uganda,Uganda,+256 7508 772 99,roseokello1035@outlook.com,996 Road  Mbarara,Mbarara,Mbarara,13261,Uganda Christian University,2.37,2.1,118,62,4,"DS401, AI501, ECON101, ML502",10,"TensorFlow, Python, AWS","Teamwork, Critical Thinking, Leadership, Time Management, Communication","NLP, Data Science","Data Scientist, AI Researcher","Hiking, Gaming, Dancing, Music",Auditory,Alone,Evening,"None, Data Science, Cybersecurity, AI, NLP","Web Development, Algorithms, Programming","Linear Algebra, Cloud Computing, Security",Diploma of Business Administration (School of Business and Administration)
22220045,Juliet,,Ochieng,Female,2005-10-16,Uganda,Uganda,+256 7537 850 70,juliet_ochieng55@mail.com,352 Street  Kampala,Kampala,Kampala,87025,Uganda Christian University,2.58,,81,96,5,"CS201, CYBER301, ML502, AI501, MATH101",15,"Pandas, Machine Learning, R, SQL, Machine Learning, C++, TensorFlow, Cybersecurity","Critical Thinking, Leadership","None, Artificial Intelligence, Machine Learning","Data Scientist, ML Engineer","Hiking, Reading, Sports, Watching films, Photography, Cooking",Kinesthetic,Online,Morning,"AI, Cybersecurity, None, Data Science",Web Development,Security,Diploma of Business Administration (School of Business and Administration)
22903622,Vincent,Fred,King,Male,1999-07-25,Uganda,Uganda,+256 7917 186 21,vincent_king408@gmail.com,170 Street  Soroti,Soroti,Soroti,59807,Uganda Christian University,2.66,2.7,86,92,5,"ECON101, EE301, DS401, DATA201, BIO202",15,"SQL, Deep Learning, PyTorch, Docker, Python","Teamwork, Problem-solving, Communication, Time Management, Critical Thinking, Leadership","Artificial Intelligence, NLP, None, Machine Learning","Cybersecurity Analyst, Data Scientist",Football,Reading/Writing,One-on-one,Late night,"Cybersecurity, Machine Learning, NLP, Computer Vision","Databases, Algorithms","Research Methods, Mobile Development",Diploma of Business Administration (School of Business and Administration)
22243237,Abel,Jesca,Kayongo,Male,2006-07-03,Uganda,Uganda,+256 7811 119 09,abelkayongo860@mail.com,322 Road Lower Njeru,Njeru,Buikwe,36213,Uganda Christian University,2.27,2.68,68,107,5,"ML502, BIO202, CS201, DATA201, MATH101",18,"AWS, Machine Learning, Git, TensorFlow, SQL, Pandas, PyTorch","Problem-solving, Leadership, Critical Thinking, Teamwork, Communication, Time Management","NLP, Data Science, Cybersecurity","Cybersecurity Analyst, Data Scientist, AI Researcher","Farming, Gaming, Cooking, Hiking",Kinesthetic,Small group,Afternoon,"Cybersecurity, Data Science, None",Software Engineering,"Cloud Computing, Mobile Development, Security",Diploma of Business Administration (School of Business and Administration)
22163969,Sharon,Peace,Nakato,Female,1998-03-16,Uganda,Uganda,+256 7711 100 54,sharonnakato452@outlook.com,727 Street Upper Nkumba,Nkumba,Wakiso,69549,Uganda Christian University,3.98,,31,19,6,"CS201, AI501, EE301, DS401, DATA201, PSY101",9,"Pandas, Machine Learning, SQL","Time Management, Communication",Cybersecurity,"Data Scientist, ML Engineer, Software Engineer, AI Researcher","Gaming, Photography, Watching films, Reading, Sports",Kinesthetic,Alone,Late night,"None, Machine Learning, Computer Vision, NLP, Cybersecurity",Algorithms,"Research Methods, Linear Algebra",Diploma of Business Administration (School of Business and Administration)
22787725,Michael,,Tumusiime,Male,2001-06-12,Uganda,Uganda,+256 7624 313 95,michael.tumusiime920@gmail.com,917 Road  Nkozi,Nkozi,Mpigi,10065,Uganda Christian University,3.49,2.44,47,50,5,"EE301, DS401, ECON101, PSY101, CS201",20,"Git, AWS, Deep Learning, PyTorch, JavaScript, Machine Learning","Problem-solving, Time Management","Data Science, Cybersecurity",Data Scientist,Cooking,Visual,Online,Afternoon,Data Science,"Programming, Networking, Machine Learning, Web Development",Mobile Development,Diploma of Business Administration (School of Business and Administration)
22871159,Isaac,Andrew,Aciro,Male,2003-09-28,Uganda,Uganda,+256 7771 283 57,isaacaciro570@gmail.com,279 Avenue Lower Kisoro,Kisoro,Kisoro,96202,Uganda Christian University,3.6,3.16,93,78,6,"CS201, DATA201, BIO202, PHYS101, PSY101, CS101",11,"Machine Learning, Java","Problem-solving, Critical Thinking, Time Management","Computer Vision, None, Artificial Intelligence, Data Science","Cybersecurity Analyst, AI Researcher","Reading, Farming, Football, Dancing, Hiking, Watching films",Visual,Alone,Morning,Data Science,Algorithms,DevOps,Diploma of Business Administration (School of Business and Administration)
22838798,James,,Ojul,Male,2000-07-23,Uganda,Uganda,+256 7658 882 41,jamesojul14@outlook.com,28 Plot Lower Ndejje,Ndejje,Luwero,58520,Uganda Christian University,2.48,,86,77,6,"AI501, ML502, PSY101, DS401, BIO202, DATA201",16,"R, AWS, Machine Learning, C++","Problem-solving, Time Management",Machine Learning,"Cybersecurity Analyst, ML Engineer","Hiking, Photography, Sports",Kinesthetic,Alone,Morning,"None, Computer Vision, Data Science",Web Development,"Security, Statistics",Diploma of Business Administration (School of Business and Administration)
22187923,Faith,,Mukasa,Female,1998-06-13,Uganda,Uganda,+256 7761 045 11,faith_mukasa327@mail.com,177 Street Upper Kampala,Kampala,Kampala,68595,Uganda Christian University,3.75,,99,87,4,"AI501, PSY101, MATH101, EE301",9,"R, AWS","Teamwork, Time Management, Communication, Problem-solving, Critical Thinking, Leadership","Data Science, None, Cybersecurity","Data Scientist, Cybersecurity Analyst, Software Engineer, AI Researcher","Music, Watching films",Reading/Writing,Alone,Late night,"Data Science, Machine Learning, NLP, Computer Vision","Web Development, Algorithms",Security,Diploma of Business Administration (School of Business and Administration)
22952130,Joan,Michael,Obita,Female,1999-11-17,Uganda,Uganda,+256 7810 717 76,joan.obita866@mail.com,42 Avenue Lower Mukono,Mukono,Mukono,35192,Uganda Christian University,3.53,3.5,97,86,3,"DATA201, PSY101, CYBER301",21,"Git, Docker, Python","Teamwork, Critical Thinking, Problem-solving, Communication, Leadership, Time Management","Machine Learning, Artificial Intelligence",AI Researcher,"Dancing, Music",Auditory,Online,Late night,NLP,Programming,"Statistics, Research Methods",Diploma of Business Administration (School of Business and Administration)
22620029,Ivan,Jane,Owino,Male,2002-05-21,Uganda,Uganda,+256 7904 617 01,ivan_owino697@yahoo.com,405 Avenue Lower Kisoro,Kisoro,Kisoro,51471,Uganda Christian University,3.69,3.48,34,66,3,"AI501, BIO202, CYBER301",12,"Machine Learning, R, Java, Deep Learning, TensorFlow","Problem-solving, Communication, Time Management, Teamwork, Critical Thinking, Leadership","Artificial Intelligence, Computer Vision","Software Engineer, Data Scientist, Cybersecurity Analyst, ML Engineer","Sports, Football",Auditory,One-on-one,Afternoon,"AI, Data Science, Computer Vision, Machine Learning","Web Development, Networking, Programming, Algorithms","Security, Statistics, DevOps",Diploma of Business Administration (School of Business and Administration)
22871159,Isaac,Andrew,Aciro,Male,2003-09-28,Uganda,Uganda,+256 7771 283 57,isaacaciro570@gmail.com,279 Avenue Lower Kisoro,Kisoro,Kisoro,96202,Uganda Christian University,3.6,3.16,93,78,6,"CS201, DATA201, BIO202, PHYS101, PSY101, CS101",11,"Machine Learning, Java","Problem-solving, Critical Thinking, Time Management","Computer Vision, None, Artificial Intelligence, Data Science","Cybersecurity Analyst, AI Researcher","Reading, Farming, Football, Dancing, Hiking, Watching films",Visual,Alone,Morning,Data Science,Algorithms,DevOps,Diploma of Business Administration (School of Business and Administration)
22354806,Robert,,Ojul,Male,1998-11-18,Uganda,Uganda,+256 7534 540 61,robertojul319@yahoo.com,520 Road  Jinja,Jinja,Jinja,19851,Uganda Christian University,3.16,,67,110,3,"AI501, CS201, CS101",10,"Git, Docker, Python, C++, PyTorch","Leadership, Time Management, Teamwork, Critical Thinking, Problem-solving, Communication","Machine Learning, Data Science, Cybersecurity, Artificial Intelligence","Data Scientist, Software Engineer, Cybersecurity Analyst, AI Researcher","Hiking, Football, Music",Visual,Small group,Afternoon,Computer Vision,"Programming, Algorithms, Networking",DevOps,Diploma of Business Administration (School of Business and Administration)
22947772,Patrick,,Odongo,Male,1998-11-08,Uganda,Uganda,+256 7768 947 42,patrick.odongo441@mail.com,328 Street  Jinja,Jinja,Jinja,38380,Uganda Christian University,2.88,3.28,73,44,5,"ML502, PHYS101, CYBER301, AI501, EE301",9,"Python, Machine Learning, Cybersecurity, PyTorch, JavaScript, Deep Learning","Leadership, Problem-solving, Teamwork, Time Management, Critical Thinking, Communication","NLP, Artificial Intelligence, Cybersecurity","ML Engineer, AI Researcher, Software Engineer","Dancing, Sports",Reading/Writing,Alone,Evening,"Computer Vision, Machine Learning, Cybersecurity, Data Science",Software Engineering,DevOps,Diploma of Business Administration (School of Business and Administration)
22142842,Prossy,Solomon,Odoch,Female,2004-02-06,Uganda,Uganda,+256 7231 836 04,prossy.odoch690@outlook.com,710 Plot  Ibanda,Ibanda,Ibanda,97456,Uganda Christian University,3.59,,99,84,3,"MATH101, PSY101, ECON101",15,"Machine Learning, R, Pandas, Docker, C++, Cybersecurity, TensorFlow, Git","Time Management, Communication, Leadership, Problem-solving, Critical Thinking","Computer Vision, NLP, Artificial Intelligence, Cybersecurity","ML Engineer, Data Scientist","Dancing, Hiking, Cooking",Reading/Writing,One-on-one,Evening,"NLP, Machine Learning, AI, Computer Vision, Cybersecurity",Programming,Security,Diploma of Business Administration (School of Business and Administration)
22887346,Florence,,Mugisha,Female,2001-08-16,Uganda,Uganda,+256 7299 472 09,florence.mugisha210@yahoo.com,705 Plot Central Jinja,Jinja,Jinja,60544,Uganda Christian University,3.99,2.53,39,63,3,"ECON101, CYBER301, AI501",18,"Python, Git, Deep Learning, PyTorch, Docker, AWS, TensorFlow","Time Management, Leadership, Critical Thinking, Teamwork, Problem-solving","Machine Learning, NLP",ML Engineer,"Farming, Music, Watching films, Gaming",Kinesthetic,Alone,Afternoon,"NLP, Computer Vision, AI","Programming, Web Development, Databases","Statistics, Research Methods, Cloud Computing",Diploma of Business Administration (School of Business and Administration)
22183756,Violet,,Otieno,Female,2003-02-09,Uganda,Uganda,+256 7866 023 64,violet_otieno190@mail.com,596 Plot Central Ndejje,Ndejje,Luwero,91304,Uganda Christian University,3.57,,100,87,6,"ECON101, BIO202, DS401, PSY101, ML502, MATH101",17,"AWS, SQL, JavaScript, Git, R","Teamwork, Critical Thinking, Communication, Leadership",Machine Learning,"Data Scientist, Cybersecurity Analyst, ML Engineer","Cooking, Dancing, Football, Farming, Sports",Auditory,Small group,Afternoon,"None, NLP","Data Structures, Programming","Linear Algebra, Statistics, Mobile Development",Diploma of Business Administration (School of Business and Administration)
22881901,Patience,,Otim,Female,2002-03-24,Uganda,Uganda,+256 7510 392 39,patience_otim779@yahoo.com,868 Avenue Central Budaka,Budaka,Budaka,96628,Uganda Christian University,3.41,2.23,63,37,4,"BIO202, ECON101, MATH101, AI501",14,"Pandas, SQL, Deep Learning, Cybersecurity, TensorFlow, R, Java","Leadership, Time Management, Problem-solving","Machine Learning, None","Cybersecurity Analyst, ML Engineer, AI Researcher, Software Engineer","Photography, Gaming, Cooking",Auditory,One-on-one,Afternoon,"AI, Machine Learning","Networking, Data Structures, Web Development","Security, Statistics, Linear Algebra",Diploma of Business Administration (School of Business and Administration)
22550739,Ivan,,Aciro,Male,2003-11-09,Uganda,Uganda,+256 7784 286 64,ivan_aciro199@mail.com,980 Avenue Central Hoima,Hoima,Hoima,29400,Uganda Christian University,3.8,3.58,26,20,4,"AI501, MATH101, DATA201, DS401",17,"JavaScript, Pandas, R, Git","Communication, Leadership, Critical Thinking","Computer Vision, Machine Learning, Cybersecurity, Artificial Intelligence",Data Scientist,"Football, Photography, Watching films",Auditory,One-on-one,Evening,"Machine Learning, Computer Vision, None, Cybersecurity","Networking, Data Structures, Machine Learning, Algorithms",Cloud Computing,Diploma of Business Administration (School of Business and Administration)
22854188,Isaac,Janet,Kayongo,Male,2001-05-18,Uganda,Uganda,+256 7961 451 24,isaac_kayongo736@gmail.com,138 Avenue Central Kasese,Kasese,Kasese,56646,Uganda Christian University,2.9,,121,57,6,"BIO202, CYBER301, PSY101, EE301, DATA201, MATH101",9,"PyTorch, TensorFlow, Machine Learning, Java, AWS, Git","Critical Thinking, Leadership, Communication, Problem-solving, Teamwork","None, Computer Vision",AI Researcher,Football,Reading/Writing,One-on-one,Late night,"NLP, Cybersecurity, Computer Vision","Networking, Web Development, Programming","Linear Algebra, Statistics",Diploma of Business Administration (School of Business and Administration)
22523253,Peace,Henry,Akena,Female,2004-07-27,Uganda,Uganda,+256 7053 390 50,peace.akena705@outlook.com,323 Road Central Kasese,Kasese,Kasese,36509,Uganda Christian University,2.94,2.21,64,61,5,"DATA201, DS401, CS101, EE301, CS201",21,"AWS, SQL, Machine Learning","Leadership, Communication","Artificial Intelligence, Computer Vision, Machine Learning","Cybersecurity Analyst, Software Engineer, Data Scientist","Dancing, Hiking, Cooking",Auditory,Online,Late night,"Data Science, AI, NLP, Machine Learning, Computer Vision","Databases, Data Structures, Networking",Linear Algebra,Diploma of Business Administration (School of Business and Administration)
22733467,Martin,,Nakato,Male,1998-04-03,Uganda,Uganda,+256 7895 088 15,martin.nakato542@yahoo.com,848 Street Upper Kampala,Kampala,Kampala,46916,Uganda Christian University,3.49,3.73,110,9,3,"ML502, PHYS101, EE301",10,"AWS, PyTorch, TensorFlow, Python","Critical Thinking, Problem-solving, Communication, Leadership, Teamwork","None, NLP, Data Science",Software Engineer,Farming,Auditory,Online,Late night,"Computer Vision, AI","Algorithms, Machine Learning","Linear Algebra, DevOps, Security",Diploma of Business Administration (School of Business and Administration)
22710971,Daniel,Margaret,Official,Male,1999-05-25,Uganda,Uganda,+256 7074 791 92,daniel_official89@outlook.com,375 Plot Upper Gulu,Gulu,Gulu,37272,Uganda Christian University,2.91,3.4,96,1,6,"ML502, MATH101, ECON101, DS401, AI501, EE301",19,"Cybersecurity, Python, AWS, Java, TensorFlow","Leadership, Communication, Teamwork","Machine Learning, Computer Vision, None, NLP","Data Scientist, Software Engineer, AI Researcher","Cooking, Dancing, Sports, Hiking",Auditory,Small group,Morning,"AI, Cybersecurity","Programming, Algorithms, Networking, Machine Learning","DevOps, Mobile Development, Linear Algebra",Diploma of Business Administration (School of Business and Administration)
22661907,Maria,,Nakato,Female,2003-12-17,Uganda,Uganda,+256 7907 227 58,marianakato941@mail.com,401 Street Central Masaka,Masaka,Masaka,59318,Uganda Christian University,2.21,2.3,49,102,6,"DS401, MATH101, CS201, AI501, DATA201, PHYS101",18,"C++, Cybersecurity, Deep Learning, Machine Learning, TensorFlow, Pandas, Python, Docker","Leadership, Critical Thinking, Teamwork, Problem-solving","Data Science, NLP, Computer Vision, None",AI Researcher,"Cooking, Reading, Watching films, Music",Auditory,Small group,Late night,"Cybersecurity, Data Science, Machine Learning, NLP","Machine Learning, Data Structures, Web Development","Linear Algebra, Mobile Development",Diploma of Business Administration (School of Business and Administration)
22707324,Joseph,Brian,Official,Male,2005-03-19,Uganda,Uganda,+256 7827 315 67,josephofficial256@outlook.com,757 Road Lower Kasese,Kasese,Kasese,38997,Uganda Christian University,2.74,3.31,101,21,3,"ECON101, ML502, PSY101",22,"Git, TensorFlow, Pandas, Machine Learning, PyTorch, R, SQL","Problem-solving, Leadership, Communication, Time Management, Teamwork, Critical Thinking","Computer Vision, None, NLP, Artificial Intelligence","Software Engineer, Data Scientist, AI Researcher","Dancing, Farming, Watching films, Football, Cooking",Kinesthetic,Online,Evening,"Machine Learning, AI","Machine Learning, Algorithms, Data Structures, Web Development","Research Methods, Mobile Development, Security",Diploma of Business Administration (School of Business and Administration)
22352510,Susan,Emmanuel,Ojara,Female,2000-08-20,Uganda,Uganda,+256 7946 298 87,susan_ojara776@yahoo.com,45 Street  Mbale,Mbale,Mbale,64681,Uganda Christian University,2.9,2.77,127,19,5,"CYBER301, AI501, PSY101, EE301, PHYS101",11,"Machine Learning, C++, Python, SQL, JavaScript","Problem-solving, Communication, Critical Thinking, Leadership",,"Cybersecurity Analyst, Data Scientist, ML Engineer, Software Engineer","Music, Reading, Photography, Gaming",Visual,Online,Evening,"None, NLP","Algorithms, Programming, Software Engineering, Databases",Mobile Development,Diploma of Business Administration (School of Business and Administration)
22256902,Janet,Raymond,Odongo,Female,2003-02-07,Uganda,Uganda,+256 7485 797 64,janet_odongo162@gmail.com,859 Road Upper Mbale,Mbale,Mbale,22698,Uganda Christian University,3.65,2.94,93,55,5,"DS401, AI501, ML502, BIO202, MATH101",9,"Python, R","Time Management, Leadership",Computer Vision,"Software Engineer, Data Scientist","Photography, Hiking, Gaming, Sports, Watching films, Reading",Reading/Writing,Online,Morning,"Cybersecurity, Data Science, NLP, AI","Algorithms, Web Development, Machine Learning","Research Methods, Security",Diploma of Business Administration (School of Business and Administration)
22722640,Catherine,,Asiimwe,Female,1999-08-06,Uganda,Uganda,+256 7547 942 53,catherineasiimwe601@outlook.com,452 Road Central Njeru,Njeru,Buikwe,69207,Uganda Christian University,2.62,,82,73,5,"BIO202, PHYS101, CS201, AI501, CYBER301",14,"JavaScript, C++, Machine Learning, PyTorch","Critical Thinking, Problem-solving, Teamwork, Leadership, Communication","Data Science, Computer Vision","AI Researcher, Cybersecurity Analyst, ML Engineer, Data Scientist","Hiking, Sports, Photography",Kinesthetic,Online,Evening,"NLP, Data Science, None, Cybersecurity","Programming, Algorithms, Data Structures, Software Engineering","Security, Mobile Development, Cloud Computing",Diploma of Business Administration (School of Business and Administration)
22183218,Isaac,,Acan,Male,2000-11-24,Uganda,Uganda,+256 7735 386 79,isaacacan741@co.ug,204 Road Central Arua,Arua,Arua,55851,Uganda Christian University,3.43,,99,49,3,"DS401, ECON101, CS201",18,"Cybersecurity, Pandas, Machine Learning, AWS, TensorFlow, Git","Leadership, Teamwork, Time Management, Problem-solving","Computer Vision, Cybersecurity, Data Science","Cybersecurity Analyst, Data Scientist, ML Engineer, Software Engineer","Dancing, Farming, Watching films",Visual,Small group,Evening,"Computer Vision, AI, Data Science, NLP","Software Engineering, Machine Learning","Linear Algebra, Mobile Development, DevOps",Diploma of Business Administration (School of Business and Administration)
